id,codigo,nombre,departamento_id
903,68217,Coromoro,17
904,8558,Polonuevo,11
905,25324,"Guataquí",15
906,68211,"Contratación",17
907,94663,Mapiripana,33
908,15092,"Betéitiva",13
909,25001,"Agua De Dios",15
910,8634,Sabanagrande,11
911,15646,"Samacá",13
912,68179,"Chipatá",17
913,15810,Tipacoque,13
914,41801,Teruel,1
915,15720,Sativanorte,13
916,15723,Sativasur,13
917,15522,Panqueba,13
918,15537,"Paz De Río",13
919,68820,Tona,17
920,15511,Pachavita,13
921,15839,"Tutazá",13
922,15897,Zetaquira,13
923,15204,"Cómbita",13
924,15109,Buenavista,13
925,15514,"Páez",13
926,52621,"Roberto Payán",3
927,27430,"Medio Baudó",6
928,52480,"Nariño",3
929,91540,"Puerto Nariño",28
930,54871,"Villa Caro",10
931,68705,"Santa Bárbara",17
932,68855,"Valle De San José",17
933,68872,Villanueva,17
934,15753,"Soatá",13
935,15215,Corrales,13
936,41797,Tesalia,1
937,13268,"El Peñón",12
938,15676,"San Miguel De Sema",13
939,70265,Guaranda,18
940,68266,Enciso,17
941,5315,Guadalupe,8
942,5086,Belmira,8
943,70110,Buenavista,18
944,52885,Yacuanquer,3
945,47460,"Nueva Granada",20
946,25779,Susa,15
947,17050,Aranzazu,4
948,52693,"San Pablo",3
949,19050,Argelia,16
950,52240,"Chachagüí",3
951,15491,Nobsa,13
952,50590,"Puerto Rico",22
953,52210,Contadero,3
954,15533,Paya,13
955,52258,"El Tablón De Gómez",3
956,15223,"Cubará",13
957,23168,"Chimá",5
958,76890,Yotoco,19
959,47170,Chivolo,20
960,52352,Iles,3
961,66383,"La Celia",9
962,25491,Nocaima,15
963,73461,Murillo,24
964,5306,Giraldo,8
965,19809,"Timbiquí",16
966,63272,Filandia,21
967,15226,"Cuítiva",13
968,5206,"Concepción",8
969,68370,"Jordán",17
970,25299,Gama,15
971,19845,"Villa Rica",16
972,15185,Chitaraque,13
973,76318,"Guacarí",19
974,68502,Onzaga,17
975,15638,"Sáchica",13
976,54174,"Chitagá",10
977,25845,Une,15
978,13458,Montecristo,12
979,25488,Nilo,15
980,68684,"San José De Miranda",17
981,54673,"San Cayetano",10
982,15673,"San Mateo",13
983,68264,Encino,17
984,95200,Miraflores,29
985,68298,"Gámbita",17
986,68745,Simacota,17
987,54172,"Chinácota",10
988,25851,"Útica",15
989,68250,"El Peñón",17
990,25599,Apulo,15
991,15368,"Jericó",13
992,15051,Arcabuco,13
993,15550,Pisba,13
994,25281,Fosca,15
995,15835,"Turmequé",13
996,70204,"Colosó",18
997,15218,"Covarachía",13
998,15224,Cucaita,13
999,15757,Socha,13
1000,25797,Tena,15
1001,68377,"La Belleza",17
1002,73563,Prado,24
1003,15362,Iza,13
1004,15367,Jenesano,13
1005,13160,Cantagallo,12
